From Module,To Module,Current Layer,Target Layer
backend.security.ephemeral_credentials.middleware,backend.security.audit_logger,other,infrastructure
backend.security.ephemeral_credentials.routes,backend.security.rbac.dependencies,other,infrastructure
backend.security.ephemeral_credentials.routes,backend.security.ephemeral_credentials.service,other,infrastructure
backend.security.ephemeral_credentials.routes,backend.security.audit_logger,other,infrastructure
backend.security.ephemeral_credentials.routes,backend.security.ephemeral_credentials.models,other,domain
backend.security.ephemeral_credentials.routes,backend.security.rbac.models,other,domain
backend.etl.enhanced_unified_data_pipeline,backend.etl.estuary_flow_orchestrator,etl,infrastructure
backend.etl.enhanced_unified_data_pipeline,backend.core.aligned_snowflake_config,etl,core
backend.etl.enhanced_unified_data_pipeline,backend.core.config_manager,etl,core
backend.etl.enhanced_unified_data_pipeline,backend.utils.snowflake_cortex_service,etl,shared
backend.etl.enhanced_ingestion_service,backend.services.semantic_layer_service,etl,core
backend.etl.enhanced_ingestion_service,backend.etl.estuary.estuary_configuration_manager,etl,infrastructure
backend.etl.estuary_flow_orchestrator,backend.core.secure_snowflake_config,etl,core
backend.etl.estuary_flow_orchestrator,backend.core.config_manager,etl,core
backend.etl.estuary.estuary_configuration_manager,backend.utils.snowflake_cortex_service,etl,shared
backend.etl.estuary.estuary_configuration_manager,backend.core.config_manager,etl,core
backend.n8n_bridge.main,backend.services.mcp_orchestration_service,other,core
backend.workflows.enhanced_langgraph_orchestration,backend.core.enhanced_cache_manager,other,core
backend.workflows.enhanced_langgraph_orchestration,backend.utils.snowflake_cortex_service,other,shared
backend.workflows.enhanced_langgraph_orchestration,backend.mcp_servers.enhanced_ai_memory_mcp_server,other,infrastructure
backend.workflows.enhanced_langgraph_orchestration,backend.security.audit_logger,other,infrastructure
backend.workflows.langgraph_agent_orchestration,backend.utils.snowflake_cortex_service,other,shared
backend.workflows.langgraph_agent_orchestration,backend.utils.snowflake_gong_connector,other,shared
backend.workflows.langgraph_agent_orchestration,backend.mcp_servers.enhanced_ai_memory_mcp_server,other,infrastructure
backend.workflows.langgraph_agent_orchestration,backend.agents.specialized.sales_coach_agent,other,core
backend.workflows.langgraph_agent_orchestration,backend.utils.snowflake_hubspot_connector,other,shared
backend.agents.research.orchestration_research_agent,backend.utils.snowflake_cortex_service,agents,shared
backend.agents.research.orchestration_research_agent,backend.agents.core.base_agent,agents,core
backend.agents.research.orchestration_research_agent,backend.mcp_servers.enhanced_ai_memory_mcp_server,agents,infrastructure
backend.agents.core.base_agent,backend.core.config_manager,agents,core
backend.agents.core.langgraph_agent_base,backend.core.integration_registry,agents,core
backend.agents.core.langgraph_agent_base,backend.services.unified_llm_service,agents,core
backend.agents.core.langgraph_agent_base,backend.utils.snowflake_cortex_service,agents,shared
backend.agents.core.langgraph_agent_base,backend.mcp_servers.enhanced_ai_memory_mcp_server,agents,infrastructure
backend.agents.specialized.slack_analysis_agent,backend.utils.snowflake_cortex_service,agents,shared
backend.agents.specialized.slack_analysis_agent,backend.agents.core.base_agent,agents,core
backend.agents.specialized.slack_analysis_agent,backend.mcp_servers.enhanced_ai_memory_mcp_server,agents,infrastructure
backend.agents.specialized.asana_project_intelligence_agent,backend.services.unified_llm_service,agents,core
backend.agents.specialized.asana_project_intelligence_agent,backend.utils.snowflake_cortex_service,agents,shared
backend.agents.specialized.asana_project_intelligence_agent,backend.agents.core.langgraph_agent_base,agents,core
backend.agents.specialized.asana_project_intelligence_agent,backend.mcp_servers.enhanced_ai_memory_mcp_server,agents,infrastructure
backend.agents.specialized.linear_project_health_agent,backend.utils.snowflake_cortex_service,agents,shared
backend.agents.specialized.linear_project_health_agent,backend.agents.core.base_agent,agents,core
backend.agents.specialized.linear_project_health_agent,backend.mcp_servers.enhanced_ai_memory_mcp_server,agents,infrastructure
backend.agents.specialized.interactive_sales_coach_agent,backend.utils.enhanced_snowflake_cortex_service,agents,shared
backend.agents.specialized.interactive_sales_coach_agent,backend.services.enhanced_knowledge_base_service,agents,core
backend.agents.specialized.interactive_sales_coach_agent,backend.agents.core.base_agent,agents,core
backend.agents.specialized.sales_intelligence_agent_core,backend.utils.snowflake_cortex_service,agents,shared
backend.agents.specialized.sales_intelligence_agent_core,backend.utils.snowflake_gong_connector,agents,shared
backend.agents.specialized.sales_intelligence_agent_core,backend.mcp_servers.enhanced_ai_memory_mcp_server,agents,infrastructure
backend.agents.specialized.sales_intelligence_agent_core,backend.services.foundational_knowledge_service,agents,core
backend.agents.specialized.sales_intelligence_agent_core,backend.utils.snowflake_hubspot_connector,agents,shared
backend.agents.specialized.sales_intelligence_agent_core,backend.services.llm_service,agents,core
backend.agents.specialized.sales_intelligence_agent_core,backend.workflows.multi_agent_workflow,agents,core
backend.agents.specialized.sales_intelligence_agent_core,backend.agents.core.base_agent,agents,core
backend.agents.specialized.call_analysis_agent,backend.utils.snowflake_cortex_service,agents,shared
backend.agents.specialized.call_analysis_agent,backend.utils.snowflake_gong_connector,agents,shared
backend.agents.specialized.call_analysis_agent,backend.integrations.gong_api_client,agents,infrastructure
backend.agents.specialized.call_analysis_agent,backend.core.config_manager,agents,core
backend.agents.specialized.call_analysis_agent,backend.agents.core.base_agent,agents,core
backend.agents.integrations.gong_data_integration,backend.agents.specialized.call_analysis_agent,agents,core
backend.agents.integrations.gong_data_integration,backend.agents.specialized.marketing_analysis_agent,agents,core
backend.agents.integrations.gong_data_integration,backend.agents.specialized.sales_coach_agent,agents,core
backend.agents.integrations.gong_data_integration,backend.core.integration_registry,agents,core
backend.agents.integrations.gong_data_integration,backend.agents.specialized.sales_intelligence_agent,agents,core
backend.agents.integrations.gong_data_integration,backend.agents.core.langgraph_agent_base,agents,core
backend.agents.integrations.gong_data_integration,backend.integrations.gong_redis_client,agents,infrastructure
backend.utils.auth,backend.utils.custom_logger,utils,shared
backend.utils.snowflake_cortex_service_core,backend.core.optimized_connection_manager,utils,core
backend.utils.snowflake_cortex_service_core,backend.core.config_manager,utils,core
backend.utils.optimized_snowflake_cortex_service,backend.core.optimized_connection_manager,utils,core
backend.utils.optimized_snowflake_cortex_service,backend.core.performance_monitor,utils,core
backend.utils.snowflake_hubspot_connector,backend.core.config_manager,utils,core
backend.utils.enhanced_snowflake_cortex_service,backend.utils.snowflake_cortex_service,utils,shared
backend.utils.snowflake_gong_connector,backend.core.config_manager,utils,core
backend.models.conversation,backend.agents.enhanced.data_models,models,core
backend.integrations.gong_api_client,backend.integrations.gong_webhook_server,integrations,infrastructure
backend.integrations.enhanced_microsoft_gong_integration,backend.utils.snowflake_cortex_service,integrations,shared
backend.integrations.enhanced_microsoft_gong_integration,backend.utils.snowflake_gong_connector,integrations,shared
backend.integrations.enhanced_microsoft_gong_integration,backend.services.enhanced_sentiment_analyzer,integrations,core
backend.integrations.gong_webhook_server,backend.integrations.gong_webhook_processor,integrations,infrastructure
backend.integrations.advanced_estuary_flow_manager,backend.core.config_manager,integrations,core
backend.scripts.batch_embed_data,backend.utils.snowflake_cortex_service,other,shared
backend.scripts.batch_embed_data,backend.core.snowflake_config_manager,other,core
backend.scripts.sophia_data_pipeline_ultimate,backend.utils.snowflake_cortex_service,other,shared
backend.scripts.sophia_data_pipeline_ultimate,backend.core.config_manager,other,core
backend.scripts.estuary_gong_setup,backend.core.config_manager,other,core
backend.mcp_servers.sophia_mcp_base,backend.mcp_servers.types,mcp_servers,infrastructure
backend.mcp_servers.sophia_mcp_base,backend.core.config_manager,mcp_servers,core
backend.mcp_servers.sophia_mcp_base,backend.core.optimized_connection_manager,mcp_servers,core
backend.mcp_servers.mcp_auth,backend.core.config_manager,mcp_servers,core
backend.mcp_servers.snowflake_admin_mcp_server,backend.mcp_servers.base.standardized_mcp_server,mcp_servers,infrastructure
backend.mcp_servers.costar_mcp_server,backend.core.integration_registry,mcp_servers,core
backend.mcp_servers.costar_mcp_server,backend.core.config_manager,mcp_servers,core
backend.mcp_servers.mcp_health,backend.mcp_servers.mcp_auth,mcp_servers,infrastructure
backend.mcp_servers.mcp_health,backend.core.snowflake_override,mcp_servers,core
backend.mcp_servers.ai_memory_auto_discovery,backend.core.config_manager,mcp_servers,core
backend.mcp_servers.ai_memory_auto_discovery,backend.mcp_servers.enhanced_ai_memory_mcp_server,mcp_servers,infrastructure
backend.mcp_servers.cortex_aisql.cortex_mcp_server,backend.core.config_manager,mcp_servers,core
backend.mcp_servers.ai_memory.ai_memory_handlers,backend.utils.snowflake_cortex_service_core,mcp_servers,shared
backend.mcp_servers.base.standardized_mcp_server,backend.utils.snowflake_cortex_service,mcp_servers,shared
backend.mcp_servers.base.enhanced_standardized_mcp_server,backend.utils.snowflake_cortex_service,mcp_servers,shared
backend.mcp_servers.base.unified_mcp_base,backend.utils.custom_logger,mcp_servers,shared
backend.orchestration.intelligent_meta_orchestrator,backend.orchestration.unified_intent_engine,other,core
backend.orchestration.cross_group_intelligence_hub,backend.utils.snowflake_cortex_service,other,shared
backend.orchestration.cross_group_intelligence_hub,backend.mcp_servers.enhanced_ai_memory_mcp_server,other,infrastructure
backend.orchestration.continuous_learning_framework,backend.orchestration.unified_intent_engine,other,core
backend.orchestration.continuous_learning_framework,backend.services.mem0_integration_service,other,core
backend.orchestration.continuous_learning_framework,backend.mcp_servers.enhanced_ai_memory_mcp_server,other,infrastructure
backend.orchestration.unified_intent_engine,backend.utils.snowflake_cortex_service,other,shared
backend.orchestration.unified_intent_engine,backend.mcp_servers.enhanced_ai_memory_mcp_server,other,infrastructure
backend.api.unified_routes,backend.services.unified_sophia_service,api,core
backend.api.enhanced_unified_chat_routes,backend.core.dependencies,api,core
backend.api.enhanced_unified_chat_routes,backend.services.unified_chat_service,api,core
backend.api.enhanced_unified_chat_routes,backend.security.audit_logger,api,infrastructure
backend.api.enhanced_unified_chat_routes,backend.workflows.enhanced_langgraph_orchestration,api,core
backend.api.unified_chat_routes,backend.services.unified_chat_service,api,core
backend.api.unified_health_routes,backend.api.ai_memory_health_routes,api,api
backend.api.unified_health_routes,backend.api.deployment_status_routes,api,api
backend.api.unified_health_routes,backend.api.lambda_labs_health_routes,api,api
backend.application.use_cases.analyze_call_sentiment,backend.domain.entities.call,other,domain
backend.application.use_cases.analyze_call_sentiment,backend.application.ports.services.ai_service,other,core
backend.application.use_cases.analyze_call_sentiment,backend.application.ports.repositories.call_repository,other,core
backend.application.use_cases.analyze_call_sentiment,backend.domain.value_objects.sentiment,other,core
backend.application.use_cases.qualify_deal,backend.domain.entities.contact,other,domain
backend.application.use_cases.qualify_deal,backend.application.ports.repositories.deal_repository,other,core
backend.application.use_cases.qualify_deal,backend.application.ports.repositories.call_repository,other,core
backend.application.use_cases.qualify_deal,backend.domain.entities.deal,other,domain
backend.application.use_cases.qualify_deal,backend.application.ports.repositories.contact_repository,other,core
backend.application.ports.repositories.call_repository,backend.domain.entities.call,other,domain
backend.application.ports.repositories.deal_repository,backend.domain.entities.deal,other,domain
backend.application.ports.repositories.contact_repository,backend.domain.entities.contact,other,domain
backend.application.ports.services.ai_service,backend.domain.value_objects.sentiment,other,core
backend.monitoring.deployment_tracker,backend.utils.snowflake_cortex_service,monitoring,shared
backend.infrastructure.sophia_iac_orchestrator,backend.infrastructure.core.state_manager,other,core
backend.infrastructure.sophia_iac_orchestrator,backend.infrastructure.adapters.gong_adapter,other,core
backend.infrastructure.sophia_iac_orchestrator,backend.infrastructure.adapters.hubspot_adapter,other,core
backend.infrastructure.sophia_iac_orchestrator,backend.infrastructure.core.policy_engine,other,core
backend.infrastructure.sophia_iac_orchestrator,backend.infrastructure.adapters.asana_adapter,other,core
backend.infrastructure.sophia_iac_orchestrator,backend.infrastructure.adapters.figma_adapter,other,core
backend.infrastructure.sophia_iac_orchestrator,backend.infrastructure.adapters.openrouter_adapter,other,core
backend.infrastructure.sophia_iac_orchestrator,backend.infrastructure.core.dependency_manager,other,core
backend.infrastructure.sophia_iac_orchestrator,backend.infrastructure.adapters.usergems_adapter,other,core
backend.infrastructure.sophia_iac_orchestrator,backend.infrastructure.adapters.apollo_adapter,other,core
backend.infrastructure.sophia_iac_orchestrator,backend.infrastructure.core.webhook_router,other,core
backend.infrastructure.sophia_iac_orchestrator,backend.infrastructure.adapters.portkey_adapter,other,core
backend.infrastructure.sophia_iac_orchestrator,backend.infrastructure.adapters.vercel_adapter,other,core
backend.infrastructure.sophia_iac_orchestrator,backend.infrastructure.adapters.lambda_labs_adapter,other,core
backend.infrastructure.sophia_iac_orchestrator,backend.infrastructure.adapters.snowflake_adapter,other,core
backend.infrastructure.sophia_iac_orchestrator,backend.infrastructure.adapters.estuary_adapter,other,core
backend.infrastructure.sophia_iac_orchestrator,backend.infrastructure.adapters.linear_adapter,other,core
backend.infrastructure.sophia_iac_orchestrator,backend.core.config_manager,other,core
backend.infrastructure.sophia_iac_orchestrator,backend.infrastructure.adapters.slack_adapter,other,core
backend.infrastructure.adapters.snowflake_adapter,backend.infrastructure.sophia_iac_orchestrator,other,core
backend.infrastructure.adapters.estuary_adapter,backend.core.config_manager,other,core
backend.infrastructure.adapters.estuary_adapter,backend.infrastructure.sophia_iac_orchestrator,other,core
backend.infrastructure.persistence.repositories.snowflake_call_repository,backend.utils.snowflake_cortex_service,other,shared
backend.infrastructure.persistence.repositories.snowflake_call_repository,backend.application.ports.repositories.call_repository,other,core
backend.infrastructure.persistence.repositories.snowflake_call_repository,backend.domain.value_objects.sentiment,other,core
backend.infrastructure.persistence.repositories.snowflake_call_repository,backend.domain.entities.call,other,domain
backend.infrastructure.persistence.repositories.snowflake_call_repository,backend.domain.value_objects.call_participant,other,core
backend.domain.entities.call,backend.domain.value_objects.call_participant,domain,core
backend.domain.entities.call,backend.domain.value_objects.sentiment,domain,core
backend.presentation.api.router,backend.security.rbac.routes,other,api
backend.presentation.api.router,backend.security.ephemeral_credentials.routes,other,api
backend.presentation.api.router,backend.api,other,api
backend.services.enhanced_unified_chat_service,backend.services.unified_llm_service,services,core
backend.services.enhanced_unified_chat_service,backend.mcp_servers.enhanced_ai_memory_mcp_server,services,infrastructure
backend.services.enhanced_unified_chat_service,backend.services.code_modification_service,services,core
backend.services.enhanced_unified_chat_service,backend.services.sophia_intent_engine,services,core
backend.services.enhanced_unified_chat_service,backend.services.unified_chat_service,services,core
backend.services.enhanced_unified_chat_service,backend.services.mcp_orchestration_service,services,core
backend.services.snowflake_intelligence_service,backend.services.semantic_layer_service,services,core
backend.services.snowflake_intelligence_service,backend.mcp_servers.mcp_client,services,infrastructure
backend.services.snowflake_intelligence_service,backend.services.vector_indexing_service,services,core
backend.services.advanced_llm_service,backend.core.auto_esc_config,services,core
backend.services.advanced_llm_service,backend.services.constitutional_ai,services,core
backend.services.advanced_llm_service,backend.services.enhanced_portkey_llm_gateway,services,core
backend.services.enhanced_cortex_agent_service,backend.core.config_manager,services,core
backend.services.predictive_analytics_service,backend.services.semantic_layer_service,services,core
backend.services.mem0_integration_service,backend.core.config_manager,services,core
backend.services.payready_business_intelligence,backend.agents.core.base_agent,services,core
backend.services.payready_business_intelligence,backend.mcp_servers.mcp_gateway,services,infrastructure
backend.services.payready_business_intelligence,backend.core.sophia_engine,services,core
backend.services.payready_business_intelligence,backend.integrations.buzz_integration,services,infrastructure
backend.services.enhanced_chat_context_service,backend.core.optimized_connection_manager,services,core
backend.services.enhanced_chat_context_service,backend.core.performance_monitor,services,core
backend.services.enhanced_portkey_llm_gateway,backend.core.auto_esc_config,services,core
backend.services.enhanced_portkey_llm_gateway,backend.utils.custom_logger,services,shared
backend.services.foundational_knowledge_service,backend.core.logger,services,core
backend.services.foundational_knowledge_service,backend.utils.snowflake_cortex_service,services,shared
backend.services.foundational_knowledge_service,backend.services.knowledge_service,services,core
backend.services.unified_ai_orchestration_service,backend.core.auto_esc_config,services,core
backend.services.data_source_manager,backend.core.auto_esc_config,services,core
backend.services.data_source_manager,backend.services.circuit_breaker,services,core
backend.services.data_source_manager,backend.core.optimized_cache,services,core
backend.services.enhanced_ingestion_service,backend.core.optimized_connection_manager,services,core
backend.services.enhanced_ingestion_service,backend.core.performance_monitor,services,core
backend.services.unified_llm_service,backend.core.auto_esc_config,services,core
backend.services.unified_llm_service,backend.monitoring.llm_metrics,services,infrastructure
backend.services.unified_llm_service,backend.utils.custom_logger,services,shared
backend.services.unified_sophia_service,backend.orchestration.continuous_learning_framework,services,core
backend.services.unified_sophia_service,backend.orchestration.intelligent_meta_orchestrator,services,core
backend.services.unified_sophia_service,backend.orchestration.cross_group_intelligence_hub,services,core
backend.services.sophia_ai_orchestrator,backend.services.enhanced_knowledge_base_service,services,core
backend.services.sophia_ai_orchestrator,backend.services.memory_preservation_service,services,core
backend.services.sophia_ai_orchestrator,backend.agents.specialized.interactive_sales_coach_agent,services,core
backend.services.code_modification_service,backend.services.unified_llm_service,services,core
backend.services.unified_chat_service,backend.utils.snowflake_cortex_service,services,shared
backend.services.unified_chat_service,backend.services.enhanced_unified_intelligence_service,services,core
backend.services.unified_chat_service,backend.mcp_servers.enhanced_ai_memory_mcp_server,services,infrastructure
backend.services.cortex_agent_service,backend.core.config_manager,services,core
backend.services.cost_engineering_service,backend.core.enhanced_cache_manager,services,core
backend.services.cost_engineering_service,backend.utils.snowflake_cortex_service,services,shared
backend.services.cost_engineering_service,backend.mcp_servers.enhanced_ai_memory_mcp_server,services,infrastructure
backend.services.cost_engineering_service,backend.security.audit_logger,services,infrastructure
backend.services.semantic_layer_service,backend.utils.enhanced_snowflake_cortex_service,services,shared
backend.services.semantic_layer_service,backend.core.performance_monitor,services,core
backend.services.comprehensive_memory_service,backend.models.conversation,services,domain
backend.services.comprehensive_memory_service,backend.agents.enhanced.data_models,services,core
backend.services.comprehensive_memory_service,backend.core.hierarchical_cache,services,core
backend.services.comprehensive_memory_service,backend.core.config_manager,services,core
backend.services.comprehensive_memory_service,backend.utils.enhanced_snowflake_cortex_service,services,shared
backend.services.enhanced_snowflake_cortex_service,backend.core.enhanced_cache_manager,services,core
backend.services.enhanced_snowflake_cortex_service,backend.services.cost_engineering_service,services,core
backend.services.enhanced_snowflake_cortex_service,backend.utils.snowflake_cortex_service,services,shared
backend.services.enhanced_snowflake_cortex_service,backend.security.audit_logger,services,infrastructure
backend.services.unified_service_registry,backend.services.enhanced_knowledge_base_service,services,core
backend.services.unified_service_registry,backend.services.predictive_automation_service,services,core
backend.services.unified_service_registry,backend.services.advanced_ui_ux_agent_service,services,core
backend.services.unified_service_registry,backend.services.foundational_knowledge_service,services,core
backend.services.unified_service_registry,backend.services.sophia_ai_orchestrator,services,core
backend.services.unified_service_registry,backend.services.unified_chat_service,services,core
backend.services.unified_service_registry,backend.services.gptcache_service,services,core
backend.services.unified_service_registry,backend.services.mcp_orchestration_service,services,core
backend.services.unified_service_registry,backend.services.payready_business_intelligence,services,core
backend.services.enhanced_unified_intelligence_service,backend.services.unified_intelligence_service,services,core
backend.services.enhanced_unified_intelligence_service,backend.services.ui_generation_intent_handler,services,core
backend.services.secure_credential_service,backend.security.secret_management,services,infrastructure
backend.services.ui_generation_intent_handler,backend.services.mcp_orchestration_service,services,core
backend.services.vector_indexing_service,backend.services.semantic_layer_service,services,core
backend.services.vector_indexing_service,backend.core.config_manager,services,core
backend.services.vector_indexing_service,backend.integrations.gong_api_client,services,infrastructure
backend.services.documentation_loader_service,backend.core.auto_esc_config,services,core
backend.services.documentation_loader_service,backend.utils.custom_logger,services,shared
backend.services.event_driven_ingestion_service,backend.services.enhanced_ingestion_service,services,core
backend.services.event_driven_ingestion_service,backend.core.config_manager,services,core
backend.services.sophia_agent_orchestrator,backend.core.auto_esc_config,services,core
backend.services.sophia_agent_orchestrator,backend.services.unified_llm_service,services,core
backend.services.sophia_agent_orchestrator,backend.services.documentation_loader_service,services,core
backend.services.sophia_agent_orchestrator,backend.utils.custom_logger,services,shared
backend.services.unified_intelligence_service,backend.services.data_source_manager,services,core
backend.services.unified_intelligence_service,backend.utils.snowflake_cortex_service,services,shared
backend.services.unified_intelligence_service,backend.services.advanced_llm_service,services,core
backend.services.unified_intelligence_service,backend.services.data_transformer,services,core
backend.services.llm_gateway.portkey_integration,backend.core.auto_esc_config,services,core
backend.services.llm_gateway.portkey_integration,backend.utils.custom_logger,services,shared
backend.services.llm_gateway.openrouter_integration,backend.core.auto_esc_config,services,core
backend.services.llm_gateway.openrouter_integration,backend.utils.custom_logger,services,shared
backend.services.llm_gateway.snowflake_cortex_enhanced,backend.services.snowflake_cortex_service,services,core
backend.services.llm_gateway.snowflake_cortex_enhanced,backend.core.config_manager,services,core
backend.services.llm_gateway.snowflake_cortex_enhanced,backend.utils.custom_logger,services,shared
backend.services.infrastructure_chat.sophia_infrastructure_chat,backend.core.config_manager,services,core
backend.services.infrastructure_chat.sophia_infrastructure_chat,backend.agents.infrastructure.sophia_infrastructure_agent,services,core
backend.services.snowflake.connection_pool_manager,backend.core.secure_snowflake_config,services,core
